bar number147,"[0, 1, 1, 0, 1, 1, 0]",,,,
bar number148,"[0, 1, 1, 1, 0, 1, 0]",,,,
bar number149,"[0, 1, 0, 1, 1, 1, 0]",,,,
bar number150,"[0, 1, 1, 1, 0, 1, 0]",,,,
bar number151,"[0, 1, 1, 1, 1, 0, 0]",,,,
bar number152,"[1, 0, 1, 0, 1, 1, 0]",,,,
bar number153,"[1, 0, 0, 1, 0, 1, 0]",,,,
bar number154,"[1, 0, 0, 1, 0, 1, 1]",,,,
bar number155,"[0, 1, 1, 0, 0, 1, 1]",,,,
bar number156,"[1, 0, 1, 0, 0, 1, 1]",,,,
bar number157,"[1, 1, 0, 0, 0, 1, 1]",,,,
bar number158,"[0, 1, 0, 1, 1, 0, 1]",,,,
bar number159,"[1, 1, 0, 1, 1, 0, 0]",,,,
bar number160,"[0, 1, 0, 1, 1, 0, 1]",,,,
bar number161,"[1, 1, 0, 1, 1, 0, 0]",,,,
bar number162,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number163,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number164,"[1, 0, 0, 0, 1, 1, 1]",,,,
bar number165,"[1, 1, 0, 0, 1, 0, 1]",V,,,
bar number166,"[0, 1, 1, 0, 1, 0, 1]",V,,,
bar number167,"[0, 1, 1, 1, 1, 0, 0]",V,,,
bar number168,"[0, 0, 0, 1, 1, 1, 1]",I,,,
bar number169,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number170,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number171,"[1, 0, 0, 0, 0, 0, 1]",,,,
bar number172,"[0, 1, 0, 0, 0, 0, 0]",,,,
bar number173,"[0, 0, 1, 0, 0, 0, 0]",,,,
bar number174,"[0, 0, 0, 1, 1, 1, 1]",,,,
bar number175,"[1, 1, 0, 0, 1, 0, 1]",I,V,I,
bar number176,"[0, 1, 0, 0, 1, 0, 1]",V,,,
bar number177,"[1, 0, 1, 0, 1, 0, 1]",I,,,
bar number178,"[0, 0, 0, 1, 1, 1, 1]",III,I,IV,VII
bar number179,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number180,"[0, 1, 1, 0, 1, 0, 1]",V,,,
bar number181,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number182,"[0, 1, 0, 1, 1, 1, 0]",V,,,
bar number183,"[1, 0, 0, 0, 1, 1, 1]",I,VI,,
bar number184,"[0, 1, 1, 1, 0, 1, 0]",IV,,,
bar number185,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number186,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number187,"[0, 1, 0, 0, 1, 0, 1]",,,,
bar number188,"[0, 1, 0, 0, 1, 0, 1]",,,,
bar number189,"[0, 1, 1, 1, 1, 0, 0]",,,,
bar number190,"[1, 0, 1, 0, 1, 1, 0]",I,,,
bar number191,"[1, 0, 0, 1, 0, 1, 1]",IV,,,
bar number192,"[1, 1, 0, 0, 1, 1, 0]",I,VI,II,V
bar number193,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number194,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number195,"[1, 0, 0, 1, 0, 1, 1]",IV,,,
bar number196,"[1, 1, 0, 0, 1, 1, 0]",I,VI,II,V
bar number197,"[1, 1, 1, 0, 1, 0, 0]",I,X,,
bar number198,"[1, 0, 1, 0, 1, 1, 0]",VI,X,,
bar number199,"[1, 0, 1, 1, 0, 1, 0]",IV,X,,
bar number200,"[0, 1, 1, 1, 0, 1, 0]",II,X,II,X
bar number201,"[0, 1, 0, 1, 1, 0, 1]",V,,,
bar number202,"[0, 1, 0, 1, 1, 0, 1]",V,,,
bar number203,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number204,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number205,"[0, 1, 0, 1, 1, 0, 1]",V,,,
bar number206,"[0, 1, 0, 1, 1, 0, 1]",V,,,
bar number207,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number208,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number209,"[1, 1, 1, 0, 1, 0, 0]",V,I,,
bar number210,"[1, 1, 1, 0, 1, 0, 0]",V,I,,
bar number211,"[0, 1, 0, 0, 1, 0, 1]",V,,,
bar number212,"[1, 0, 1, 0, 1, 0, 0]",V,,,
bar number213,"[0, 1, 0, 1, 1, 1, 0]",V,,,
bar number214,"[1, 0, 1, 0, 1, 1, 0]",I,I,,
bar number215,"[0, 1, 0, 1, 1, 0, 1]",V,V,,
bar number216,"[1, 0, 1, 0, 1, 1, 0]",I,I,,
bar number217,"[0, 1, 0, 1, 1, 0, 1]",V,V,,
bar number218,"[1, 0, 1, 0, 1, 1, 0]",X,,,
bar number219,"[1, 0, 0, 1, 1, 1, 0]",,,,
bar number220,"[1, 0, 1, 0, 1, 1, 0]",,,,
bar number221,"[1, 0, 0, 1, 1, 1, 0]",IV,I,,
bar number222,"[1, 0, 1, 1, 1, 0, 0]",IV,I,,
bar number223,"[0, 1, 0, 1, 1, 1, 0]",II,V,,
bar number224,"[1, 0, 1, 0, 1, 1, 0]",I,VI,,
bar number225,"[0, 1, 0, 1, 1, 1, 0]",II,V,V,
bar number226,"[1, 0, 1, 1, 1, 0, 0]",I,V,,
bar number227,"[0, 1, 0, 1, 1, 1, 0]",V,,,
bar number228,"[1, 0, 1, 0, 1, 0, 1]",I,,,
bar number229,"[0, 1, 0, 1, 1, 1, 0]",,,,
bar number230,"[1, 0, 1, 1, 1, 0, 0]",,,,
bar number231,"[1, 0, 1, 0, 1, 0, 1]",,,,
bar number232,"[1, 1, 1, 0, 1, 0, 0]",,,,
bar number233,"[0, 1, 1, 1, 1, 0, 0]",,,,
bar number234,"[1, 1, 1, 0, 1, 0, 0]",,,,
bar number235,"[1, 1, 1, 0, 1, 0, 0]",,,,
bar number236,"[1, 1, 1, 0, 1, 0, 0]",,,,
bar number237,"[1, 1, 1, 0, 1, 0, 0]",,,,
bar number238,"[1, 0, 1, 1, 1, 0, 0]",,,,
bar number239,"[1, 1, 1, 0, 1, 0, 0]",,,,
bar number240,"[1, 0, 1, 1, 1, 0, 0]",,,,
bar number241,"[1, 0, 1, 0, 1, 1, 0]",,,,
bar number242,"[0, 1, 0, 1, 1, 0, 1]",,,,
bar number243,"[1, 0, 1, 0, 1, 0, 0]",,,,
bar number244,"[1, 0, 1, 0, 1, 0, 0]",,,,
bar number245,"[1, 0, 1, 0, 1, 1, 0]",,,,
bar number246,"[1, 1, 0, 1, 0, 1, 0]",,,,
bar number247,"[0, 1, 1, 1, 0, 1, 0]",II,X,II,X
bar number248,"[1, 1, 1, 0, 1, 0, 0]",V,I,,
bar number249,"[1, 1, 1, 0, 1, 0, 0]",V,I,,
bar number250,"[1, 1, 1, 0, 1, 0, 0]",V,,,
bar number251,"[1, 0, 1, 0, 1, 1, 0]",I,,,
bar number252,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number253,"[1, 0, 0, 1, 0, 1, 1]",IV,,,
bar number254,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number255,"[0, 1, 0, 1, 1, 0, 1]",V,,,
bar number256,"[1, 0, 1, 0, 1, 1, 0]",I,VI,,
bar number257,"[0, 1, 1, 1, 1, 0, 0]",I,V,V,
bar number258,"[1, 0, 1, 1, 0, 1, 0]",I,VI,,
bar number259,"[1, 1, 1, 0, 1, 0, 0]",V,V,,
bar number260,"[1, 0, 1, 0, 1, 0, 1]",I,,,
bar number261,"[1, 0, 1, 0, 1, 0, 1]",I,,,
bar number262,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number263,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number264,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number265,"[1, 0, 1, 0, 1, 0, 0]",I,,,
